home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Boston,Phoenix,01/15/2016,W,48,117,56,30,12,5,12,19,39,17,42-96,.438,14-30,.467,19-29,.655,144,103,45,24,9,5,14,22,36,9,35-89,.393,10-27,.370,23-28,.821,113
Boston,Indiana,01/13/2016,W,48,103,49,24,7,2,19,18,35,14,40-90,.444,9-26,.346,14-20,.700,110,94,48,18,12,3,17,20,35,13,37-91,.407,5-30,.167,15-20,.750,99
Boston,Detroit,01/06/2016,L,48,94,39,23,5,5,10,28,26,13,34-91,.374,6-28,.214,20-27,.741,92,99,47,18,4,5,18,27,36,11,33-74,.446,10-27,.370,23-36,.639,101
Boston,Brooklyn,01/02/2016,L,48,97,51,17,8,4,14,24,35,16,34-88,.386,7-32,.219,22-28,.786,103,100,50,23,5,2,14,21,36,14,38-93,.409,3-18,.167,21-22,.955,110
Boston,L.A.Lakers,12/30/2015,L,48,104,45,23,7,5,10,20,36,9,38-88,.432,7-27,.259,21-25,.840,120,112,52,22,5,2,10,22,39,13,43-94,.457,9-19,.474,17-23,.739,126
Boston,New York,12/27/2015,W,48,100,51,18,5,4,10,24,39,12,36-85,.424,8-20,.400,20-29,.690,110,91,48,15,6,4,13,23,35,13,33-89,.371,4-19,.211,21-24,.875,92
Boston,Minnesota,12/21/2015,W,48,113,50,34,6,9,16,22,38,12,46-89,.517,12-25,.480,9-16,.562,146,99,36,20,9,6,12,19,30,6,36-79,.456,2-13,.154,25-32,.781,108
Boston,Atlanta,12/18/2015,L,48,101,43,19,5,2,21,25,37,6,34-77,.442,10-23,.435,23-31,.742,98,109,42,23,11,4,12,28,33,9,41-88,.466,4-20,.200,23-29,.793,124
Boston,Cleveland,12/15/2015,L,48,77,41,18,6,6,10,11,29,12,28-87,.322,9-32,.281,12-14,.857,77,89,46,17,5,7,14,17,40,6,36-78,.462,8-23,.348,9-10,.900,107
Boston,Golden State,12/11/2015,L,58,119,51,32,7,9,15,30,40,11,49-114,.430,12-33,.364,9-16,.562,131,124,67,28,10,11,18,22,50,17,42-107,.393,9-31,.290,31-39,.795,149
Boston,Chicago,12/09/2015,W,48,105,45,22,10,4,12,22,32,13,38-92,.413,5-23,.217,24-28,.857,116,100,50,22,7,5,16,18,35,15,39-91,.429,6-21,.286,16-23,.696,109
Boston,Washington,11/27/2015,W,48,111,58,28,11,7,15,15,39,19,42-97,.433,12-33,.364,15-19,.789,141,78,46,16,7,4,22,19,33,13,27-84,.321,5-18,.278,19-22,.864,69
Boston,Philadelphia,11/25/2015,W,48,84,54,18,7,6,16,12,43,11,31-91,.341,9-29,.310,13-18,.722,88,80,50,12,11,14,18,21,43,7,31-83,.373,7-27,.259,11-15,.733,93
